Energie/eV,PDS-Betrag,Phase/°,Trans_korr,Ref/V,X-Wert/V,Y-Wert/V,Trans/V,Reflexion/V,Refl_korr
2.8177,6.88E-04,1.38E+00,8.60E-01,7.16E-04,6.44E-05,1.45E-06,2.34E-02,7.42E-04,2.56E-01
2.7977,6.17E-04,-3.04E+00,8.64E-01,7.25E-04,5.81E-05,-3.10E-06,2.40E-02,7.51E-04,2.50E-01
2.7777,5.87E-04,-3.47E+00,8.68E-01,7.36E-04,5.60E-05,-3.32E-06,2.47E-02,7.59E-04,2.41E-01
2.7577,5.93E-04,-2.72E+00,8.73E-01,7.51E-04,5.78E-05,-2.80E-06,2.54E-02,7.76E-04,2.36E-01
2.7377,5.08E-04,5.41E-01,8.83E-01,7.76E-04,5.10E-05,7.65E-07,2.65E-02,7.99E-04,2.30E-01
2.7177,4.66E-04,1.19E+00,8.87E-01,8.11E-04,4.90E-05,1.29E-06,2.79E-02,8.28E-04,2.22E-01
2.6977,4.58E-04,2.53E+00,8.86E-01,8.53E-04,4.94E-05,3.38E-06,2.95E-02,8.70E-04,2.06E-01
2.6777,4.51E-04,-3.07E-01,8.97E-01,9.04E-04,5.29E-05,-4.33E-07,3.16E-02,9.21E-04,2.05E-01
2.6577,4.51E-04,-2.21E+00,8.93E-01,9.55E-04,5.53E-05,-2.10E-06,3.35E-02,9.65E-04,1.91E-01
2.6377,4.30E-04,-9.60E-01,9.00E-01,9.88E-04,5.50E-05,-1.00E-06,3.47E-02,9.95E-04,1.89E-01
2.6177,4.43E-04,-2.37E+00,8.95E-01,9.97E-04,5.64E-05,-2.36E-06,3.51E-02,9.98E-04,1.82E-01
2.5977,4.50E-04,1.41E+00,8.94E-01,9.73E-04,5.61E-05,1.29E-06,3.46E-02,9.73E-04,1.69E-01
